provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130040,"Alliance Communications Cooperative, Inc.",50,Fiber to the Premises,20674,23485,20674,23485
130043,Alma Communications Company,50,Fiber to the Premises,294,302,100,100
130043,Alma Communications Company,70,Unlicensed Fixed Wireless,185,193,52,58
130044,"Alma Telecom, Inc.",10,Copper,5396,6062,5396,6062
130044,"Alma Telecom, Inc.",40,Cable,12103,13892,12103,13892
130044,"Alma Telecom, Inc.",50,Fiber to the Premises,6643,7547,6643,7547
130045,"Alpine Communications, LLC",10,Copper,1336,1526,1336,1526
130045,"Alpine Communications, LLC",50,Fiber to the Premises,5828,6371,5828,6371
130045,"Alpine Communications, LLC",72,LBR Fixed Wireless,463,523,463,523
130046,Alta Municipal Utilities,40,Cable,393,433,65,79
130057,"Amery Telcom, Inc.",10,Copper,142,144,142,144
130057,"Amery Telcom, Inc.",40,Cable,4922,5613,4922,5613
130057,"Amery Telcom, Inc.",50,Fiber to the Premises,11748,13742,11748,13742
130058,Amherst Telephone Company,10,Copper,1280,1473,1280,1473
130058,Amherst Telephone Company,50,Fiber to the Premises,14765,16203,14765,16203
130059,"Amplex Electric, Inc.",10,Copper,63,75,63,75
130059,"Amplex Electric, Inc.",50,Fiber to the Premises,6571,7147,6571,7147
130059,"Amplex Electric, Inc.",70,Unlicensed Fixed Wireless,3014,3358,3014,3358
130059,"Amplex Electric, Inc.",71,Licensed Fixed Wireless,153102,198442,153102,198442
130059,"Amplex Electric, Inc.",72,LBR Fixed Wireless,3272,3536,3272,3536
130065,Arapahoe Telephone Company,10,Copper,2599,2860,2599,2860
130065,Arapahoe Telephone Company,40,Cable,370,380,370,380
130065,Arapahoe Telephone Company,50,Fiber to the Premises,1162,1292,1162,1292
130065,Arapahoe Telephone Company,70,Unlicensed Fixed Wireless,11047,13014,11047,13014
130065,Arapahoe Telephone Company,71,Licensed Fixed Wireless,34103,41180,34105,41182
130065,Arapahoe Telephone Company,72,LBR Fixed Wireless,1816,1973,1816,1973
130067,"Arctic Slope Telephone Association Cooperative, Inc.",10,Copper,289,329,107,109
130067,"Arctic Slope Telephone Association Cooperative, Inc.",50,Fiber to the Premises,1894,2231,615,633
130068,"Synergy Technology Partners, inc.",10,Copper,4651,5064,4651,5064
130068,"Synergy Technology Partners, inc.",50,Fiber to the Premises,50196,55686,50196,55686
130069,"Arkansas Telephone Company, Inc.",10,Copper,5813,6213,1222,1577
130069,"Arkansas Telephone Company, Inc.",50,Fiber to the Premises,2193,2643,397,569
130070,"Spectracomm, Inc.",50,Fiber to the Premises,6146,6657,6146,6657
130071,"Armstrong Holdings, Inc.",10,Copper,15199,17227,15199,17227
130071,"Armstrong Holdings, Inc.",40,Cable,359513,440841,359513,440841
130071,"Armstrong Holdings, Inc.",50,Fiber to the Premises,105542,129334,106756,131271
130073,Arthur Mutual Telephone Company,50,Fiber to the Premises,2293,2408,2293,2408
130074,"Arvig Enterprises, Inc.",10,Copper,53166,60332,53166,60332
130074,"Arvig Enterprises, Inc.",40,Cable,33079,39222,33079,39222
130074,"Arvig Enterprises, Inc.",50,Fiber to the Premises,49792,61102,49792,61102
130074,"Arvig Enterprises, Inc.",70,Unlicensed Fixed Wireless,53546,79591,53546,79591
130077,AT&T Inc.,10,Copper,26429695,38681623,26429695,38681623
130077,AT&T Inc.,50,Fiber to the Premises,14505462,18072596,14505462,18072596
130077,AT&T Inc.,71,Licensed Fixed Wireless,855794,1009905,855794,1009905
130079,"Radiate Holdings, LP",10,Copper,8377,171062,8377,171062
130079,"Radiate Holdings, LP",40,Cable,2310527,4682499,2310527,4682499
130079,"Radiate Holdings, LP",50,Fiber to the Premises,274225,1104754,274225,1104754
130081,"ATN International, Inc.",10,Copper,99563,160431,13398,30316
130081,"ATN International, Inc.",40,Cable,30574,55012,1226,1844
130081,"ATN International, Inc.",50,Fiber to the Premises,161,1402,596,2788
130081,"ATN International, Inc.",70,Unlicensed Fixed Wireless,14091,16279,2288,3224
130081,"ATN International, Inc.",71,Licensed Fixed Wireless,537596,697917,64941,127117
130082,Atlantic Telephone Membership Corporation,10,Copper,18312,20498,18312,20498
130082,Atlantic Telephone Membership Corporation,40,Cable,35358,38533,35358,38533
130082,Atlantic Telephone Membership Corporation,50,Fiber to the Premises,65059,73154,65059,73154
130083,"Atlas Telephone Company, Inc.",10,Copper,17,19,0,0
130083,"Atlas Telephone Company, Inc.",50,Fiber to the Premises,158,172,11,12
130084,"Atwood Cable Systems, Inc.",40,Cable,798,889,798,889
130084,"Atwood Cable Systems, Inc.",50,Fiber to the Premises,43,60,43,60
130087,Ayersville Telephone Company,10,Copper,1076,1116,1076,1116
130087,Ayersville Telephone Company,50,Fiber to the Premises,709,729,709,729
130090,"Baca Valley Telephone Company, Inc.",10,Copper,851,918,851,918
130090,"Baca Valley Telephone Company, Inc.",50,Fiber to the Premises,907,1173,907,1173
130090,"Baca Valley Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3971,4662,3971,4662
130090,"Baca Valley Telephone Company, Inc.",72,LBR Fixed Wireless,299,322,299,322
130092,"Baldwin Nashville Telephone Company, Inc.",50,Fiber to the Premises,474,514,474,514
130093,"Baldwin Telecom, Inc.",40,Cable,1826,2036,1918,2128
130093,"Baldwin Telecom, Inc.",50,Fiber to the Premises,10382,12500,10931,13163
130094,"Ballard Rural Telephone Cooperative Corporation, Inc.",50,Fiber to the Premises,6442,7071,6442,7071
130095,Baraga Telephone Company Inc.,10,Copper,6103,7415,6103,7415
130095,Baraga Telephone Company Inc.,50,Fiber to the Premises,5876,7812,5876,7812
130096,Barnes City Cooperative Telephone Company,10,Copper,225,238,225,238
130097,Barry County Services Company,10,Copper,5353,5522,0,0
130097,Barry County Services Company,50,Fiber to the Premises,3182,3224,472,695
130097,Barry County Services Company,72,LBR Fixed Wireless,15306,16942,15306,16942
130098,Bascom Mutual Telephone Company,50,Fiber to the Premises,4316,5122,4316,5122
130098,Bascom Mutual Telephone Company,70,Unlicensed Fixed Wireless,10752,12380,0,0
130098,Bascom Mutual Telephone Company,71,Licensed Fixed Wireless,33084,37880,0,0
130103,"Beamspeed, LLC",40,Cable,2071,2509,2071,2509
130103,"Beamspeed, LLC",50,Fiber to the Premises,3703,4513,3703,4513
130103,"Beamspeed, LLC",71,Licensed Fixed Wireless,328364,485389,328364,485389
130104,Beaver Creek Cooperative Telephone Company,10,Copper,5339,6028,5339,6028
130104,Beaver Creek Cooperative Telephone Company,40,Cable,2139,2424,2139,2424
130104,Beaver Creek Cooperative Telephone Company,50,Fiber to the Premises,137,226,137,226
130105,"Bee Creek Communications, Inc.",70,Unlicensed Fixed Wireless,58714,72904,58714,72904
130105,"Bee Creek Communications, Inc.",72,LBR Fixed Wireless,23797,30253,23797,30253
130106,Beehive Telephone Companies,10,Copper,387,412,387,412
130106,Beehive Telephone Companies,40,Cable,13,13,13,13
130106,Beehive Telephone Companies,50,Fiber to the Premises,140152,168837,140152,168837
130106,Beehive Telephone Companies,70,Unlicensed Fixed Wireless,22911,25952,22911,25952
130107,"Beggs Telephone Company, Inc.",10,Copper,1261,1412,297,422
130107,"Beggs Telephone Company, Inc.",50,Fiber to the Premises,600,673,177,214
130108,BEK Communications Cooperative,10,Copper,841,897,841,897
130108,BEK Communications Cooperative,50,Fiber to the Premises,21967,25457,21967,25457
130112,"Ben Lomand Rural Telephone Coop., Inc.",10,Copper,3970,5453,846,1471
130112,"Ben Lomand Rural Telephone Coop., Inc.",50,Fiber to the Premises,48772,54959,8832,12574
130114,BW Telcom,10,Copper,131,139,131,139
130114,BW Telcom,50,Fiber to the Premises,2492,2674,2492,2674
130115,Benton Cooperative Telephone Company,10,Copper,33,34,33,34
130115,Benton Cooperative Telephone Company,40,Cable,1304,2017,1304,2017
130115,Benton Cooperative Telephone Company,50,Fiber to the Premises,6910,7652,6910,7652
130116,Benton Ridge Telephone Company,50,Fiber to the Premises,9508,12004,9508,12004
130116,Benton Ridge Telephone Company,70,Unlicensed Fixed Wireless,501644,602546,501644,602546
130116,Benton Ridge Telephone Company,71,Licensed Fixed Wireless,924245,1116944,924245,1116944
130118,Beresford Municipal Telephone Company,50,Fiber to the Premises,1096,1288,1096,1288
130119,Bergen Telephone Company,50,Fiber to the Premises,183,235,183,235
130120,"Bernard Telephone Company, Inc.",50,Fiber to the Premises,1470,1563,1470,1563
130120,"Bernard Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3912,4678,3912,4678
130122,Biddeford Internet Corporation,10,Copper,1731,5361,518,3429
130122,Biddeford Internet Corporation,50,Fiber to the Premises,1383,3307,729,2790
130123,"Nevill Holdings, Inc.",10,Copper,985,1215,985,1215
130123,"Nevill Holdings, Inc.",50,Fiber to the Premises,8849,10332,8849,10332
130123,"Nevill Holdings, Inc.",60,GSO Satellite,1054,1092,1054,1092
130123,"Nevill Holdings, Inc.",70,Unlicensed Fixed Wireless,16166,18811,16166,18811
130123,"Nevill Holdings, Inc.",71,Licensed Fixed Wireless,9860,12011,9860,12011
130123,"Nevill Holdings, Inc.",72,LBR Fixed Wireless,10313,12494,10313,12494
130124,"Big River Telephone, LLC",10,Copper,39,59,82,150
130124,"Big River Telephone, LLC",50,Fiber to the Premises,2825,3542,221,443
130124,"Big River Telephone, LLC",70,Unlicensed Fixed Wireless,2136,2369,134,165
130126,Bijou Telephone Cooperative Association Inc.,10,Copper,76,81,76,81
130126,Bijou Telephone Cooperative Association Inc.,50,Fiber to the Premises,1912,1995,1912,1995
130126,Bijou Telephone Cooperative Association Inc.,70,Unlicensed Fixed Wireless,12148,13589,12148,13589
130130,Bixby Telephone Company,10,Copper,7285,8595,1120,1872
130130,Bixby Telephone Company,50,Fiber to the Premises,9153,12146,2613,5464
130132,"Blackfoot Telephone Cooperative, Inc.",10,Copper,28730,41401,28730,41401
130132,"Blackfoot Telephone Cooperative, Inc.",50,Fiber to the Premises,12588,24314,12588,24314
130132,"Blackfoot Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,710,1395,710,1395
130132,"Blackfoot Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,87,314,87,314
130133,Blanca Telephone Company/Jade Communications LLC,50,Fiber to the Premises,8033,9151,8033,9151
130133,Blanca Telephone Company/Jade Communications LLC,70,Unlicensed Fixed Wireless,10645,12934,10645,12934
130133,Blanca Telephone Company/Jade Communications LLC,71,Licensed Fixed Wireless,2539,2708,2539,2708
130133,Blanca Telephone Company/Jade Communications LLC,72,LBR Fixed Wireless,9669,12028,9669,12028
130134,"Blanchard Telephone Association, Inc.",10,Copper,1329,1523,1329,1523
130134,"Blanchard Telephone Association, Inc.",50,Fiber to the Premises,183,207,183,207
130136,Bledsoe Telephone Cooperative Inc.,10,Copper,14066,15410,14066,15410
130136,Bledsoe Telephone Cooperative Inc.,50,Fiber to the Premises,11288,12397,11288,12397
130137,"Block Communications, Inc.",10,Copper,2,2,2,2
130137,"Block Communications, Inc.",40,Cable,259901,361825,259901,361825
130137,"Block Communications, Inc.",50,Fiber to the Premises,78462,107561,82206,117020
130138,Bloomer Telephone Company,50,Fiber to the Premises,5168,6464,5168,6464
130139,Bloomingdale Home Telephone Company,10,Copper,527,599,155,165
130139,Bloomingdale Home Telephone Company,50,Fiber to the Premises,1578,1889,426,484
130140,"Bloomingdale Telephone Company, Inc.",50,Fiber to the Premises,6913,7873,6913,7873
130141,"Blossom Telephone Co., Inc.",10,Copper,460,588,460,588
130141,"Blossom Telephone Co., Inc.",50,Fiber to the Premises,1223,1805,1223,1805
130142,Rural Communications Holding Corporation,10,Copper,6709,7866,6709,7866
130142,Rural Communications Holding Corporation,40,Cable,718,740,718,740
130142,Rural Communications Holding Corporation,50,Fiber to the Premises,21621,24639,21621,24639
130144,"Blue Valley Tele-Communications, Inc.",40,Cable,3722,4157,3722,4157
130144,"Blue Valley Tele-Communications, Inc.",50,Fiber to the Premises,6193,6803,6193,6803
130144,"Blue Valley Tele-Communications, Inc.",70,Unlicensed Fixed Wireless,392,445,392,445
130148,Colonial Telephone Company,10,Copper,1474,1657,1474,1657
130150,Brandenburg Communications Corp.,10,Copper,30486,40171,30486,40171
130150,Brandenburg Communications Corp.,50,Fiber to the Premises,42815,54326,42815,54326
130151,"Strickland Communications, Inc.",50,Fiber to the Premises,8914,10959,8914,10959
130152,Brazoria Telephone Company,10,Copper,2436,2850,2435,2849
130152,Brazoria Telephone Company,40,Cable,5878,6674,5877,6673
130152,Brazoria Telephone Company,50,Fiber to the Premises,4891,5517,4891,5517
130153,"Brazos Telephone Cooperative, Inc.",10,Copper,155,202,155,202
130153,"Brazos Telephone Cooperative, Inc.",50,Fiber to the Premises,9049,10436,9049,10436
130154,Breda Telephone Corp.,40,Cable,533,557,533,557
130154,Breda Telephone Corp.,50,Fiber to the Premises,15597,18181,15597,18181
130154,Breda Telephone Corp.,70,Unlicensed Fixed Wireless,41,55,41,55
130160,Bristol Bay Telephone Cooperative,10,Copper,1448,1575,1448,1575
130161,Broadband Corp.,50,Fiber to the Premises,316,318,316,318
130161,Broadband Corp.,72,LBR Fixed Wireless,16786,19228,16786,19228
130169,Brooklyn Mutual Telecommunications Cooperative,10,Copper,473,511,1,2
130169,Brooklyn Mutual Telecommunications Cooperative,40,Cable,16,16,0,0
130169,Brooklyn Mutual Telecommunications Cooperative,50,Fiber to the Premises,539,572,57,61
130170,"Bruce Telephone Company, Inc.",10,Copper,918,1081,918,1081
130170,"Bruce Telephone Company, Inc.",50,Fiber to the Premises,1253,1369,1253,1369
130171,Bryan Family Inc.,10,Copper,145,231,145,231
130171,Bryan Family Inc.,50,Fiber to the Premises,111,196,111,196
130176,"Bulloch County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,26822,39042,26779,38971
130177,"BullsEye Telecom, Inc.",50,Fiber to the Premises,0,0,8,10
130178,"Burke's Garden Telephone Co., Inc.",50,Fiber to the Premises,237,249,237,249
130179,Butler-Bremer Mutual Telephone Company,50,Fiber to the Premises,9266,10136,9266,10136
130183,"Cable One, Inc.",10,Copper,61624,83207,61624,83207
130183,"Cable One, Inc.",40,Cable,2174524,2756082,2174524,2756082
130183,"Cable One, Inc.",50,Fiber to the Premises,203058,265434,165122,229688
130183,"Cable One, Inc.",70,Unlicensed Fixed Wireless,5610,6059,5610,6059
130184,"Cable Services, Inc.",40,Cable,10209,14766,10209,14766
130189,Calaveras Communications Company,10,Copper,2976,3411,2976,3411
130189,Calaveras Communications Company,50,Fiber to the Premises,1504,1742,1504,1742
130189,Calaveras Communications Company,70,Unlicensed Fixed Wireless,130,163,130,163
130192,"Cambridge TelCom, Inc.",10,Copper,1796,1993,1796,1993
130192,"Cambridge TelCom, Inc.",50,Fiber to the Premises,5210,6163,5210,6163
130192,"Cambridge TelCom, Inc.",71,Licensed Fixed Wireless,1121,1255,1121,1255
130193,"Cambridge Telephone Company, Inc.",10,Copper,1551,1725,367,500
130193,"Cambridge Telephone Company, Inc.",50,Fiber to the Premises,427,474,98,132
130193,"Cambridge Telephone Company, Inc.",70,Unlicensed Fixed Wireless,1839,2082,402,709
130193,"Cambridge Telephone Company, Inc.",71,Licensed Fixed Wireless,19,19,2,2
130195,Canadian Valley Telephone Company,10,Copper,1810,1983,1810,1983
130196,Canby Telephone Association,10,Copper,1425,2652,1425,2652
130196,Canby Telephone Association,50,Fiber to the Premises,8896,11258,8896,11258
130199,"Cap Rock Telephone Cooperative, Inc.",10,Copper,82,85,82,85
130199,"Cap Rock Telephone Cooperative, Inc.",50,Fiber to the Premises,6311,7377,6311,7377
130201,Carnegie Telephone Company,10,Copper,359,364,359,364
130201,Carnegie Telephone Company,50,Fiber to the Premises,1844,1962,1844,1962
130201,Carnegie Telephone Company,70,Unlicensed Fixed Wireless,470,494,299,318
130203,"Carr Communications, Inc.",10,Copper,3668,3827,3668,3827
130204,Cascade Communications Company,50,Fiber to the Premises,2140,2477,2140,2477
130206,Day Management Corporation,10,Copper,14401,19633,14401,19633
130206,Day Management Corporation,50,Fiber to the Premises,19590,24868,19590,24868
130207,Casey Mutual Telephone Company,10,Copper,139,141,139,141
130207,Casey Mutual Telephone Company,50,Fiber to the Premises,635,715,635,715
130208,"Cass Communications Management, Inc.",40,Cable,21337,25234,21337,25234
130208,"Cass Communications Management, Inc.",50,Fiber to the Premises,27858,32946,28398,33772
130208,"Cass Communications Management, Inc.",70,Unlicensed Fixed Wireless,4122,4900,4122,4900
130208,"Cass Communications Management, Inc.",71,Licensed Fixed Wireless,12513,14616,12513,14616
130210,Castleberry Communications,10,Copper,1185,1387,1185,1387
130218,Cedar Falls Municipal Communications Utility,50,Fiber to the Premises,13397,19030,13397,19030
130218,Cedar Falls Municipal Communications Utility,70,Unlicensed Fixed Wireless,241,265,241,265
130223,"Center Junction Telephone Company, Inc.",50,Fiber to the Premises,185,200,185,200
130224,"Central Arkansas Telephone Cooperative, Inc.",10,Copper,2,2,2,2
130224,"Central Arkansas Telephone Cooperative, Inc.",50,Fiber to the Premises,4593,5291,4593,5291
130226,"Central Oklahoma Telephone Co., LLC",10,Copper,3912,4346,3912,4346
130226,"Central Oklahoma Telephone Co., LLC",50,Fiber to the Premises,2798,3145,2798,3145
130226,"Central Oklahoma Telephone Co., LLC",70,Unlicensed Fixed Wireless,11,13,0,0
130227,"Central Texas Telephone Cooperative, Inc.",10,Copper,8962,10529,8962,10529
130227,"Central Texas Telephone Cooperative, Inc.",50,Fiber to the Premises,8892,10341,8892,10341
130227,"Central Texas Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,101275,128779,31882,47128
130228,"Lumen Technologies, Inc.",10,Copper,10901171,15242839,10901152,15242798
130228,"Lumen Technologies, Inc.",50,Fiber to the Premises,2248623,3102315,2248621,3102294
130228,"Lumen Technologies, Inc.",71,Licensed Fixed Wireless,7579,8698,7579,8698
130228,"Lumen Technologies, Inc.",72,LBR Fixed Wireless,30555,36534,30555,36534
130233,Chapin Communications Corporation,10,Copper,4357,5147,4357,5147
130233,Chapin Communications Corporation,50,Fiber to the Premises,2232,2699,2232,2699
130234,Chariton Valley Telephone Corporation,10,Copper,257,275,119,141
130234,Chariton Valley Telephone Corporation,50,Fiber to the Premises,21014,24304,6269,8936
130235,Charter Communications,40,Cable,32914635,47964059,2750974,8340023
130235,Charter Communications,50,Fiber to the Premises,480835,741503,540134,2125187
130238,Chazy & Westport Telephone Corp.,10,Copper,359,406,359,406
130238,Chazy & Westport Telephone Corp.,50,Fiber to the Premises,3475,3875,3475,3875
130239,"Chequamegon Communications Cooperative, Inc.",10,Copper,3205,4081,830,1432
130239,"Chequamegon Communications Cooperative, Inc.",50,Fiber to the Premises,15996,18317,3438,4791
130240,Cherokee Telephone Company,10,Copper,8016,9460,1755,2484
130240,Cherokee Telephone Company,50,Fiber to the Premises,693,779,80,87
130242,"TruVista Communications, Inc.",10,Copper,9453,10720,9453,10720
130242,"TruVista Communications, Inc.",40,Cable,36296,43686,36296,43686
130242,"TruVista Communications, Inc.",50,Fiber to the Premises,34190,39553,34190,39553
130243,Cheyenne River Sioux Tribe Telephone Authority,50,Fiber to the Premises,3098,3386,3098,3386
130244,"Chibardun Telephone Cooperative, Inc.",10,Copper,4995,7369,4995,7369
130244,"Chibardun Telephone Cooperative, Inc.",50,Fiber to the Premises,13752,16242,13752,16242
130245,Chickasaw Holding Company,10,Copper,18535,25955,17566,24828
130245,Chickasaw Holding Company,50,Fiber to the Premises,3289,3624,3289,3624
130250,Christensen Communications Company,10,Copper,1002,1189,1002,1189
130250,Christensen Communications Company,50,Fiber to the Premises,671,865,671,865
130250,Christensen Communications Company,71,Licensed Fixed Wireless,2566,2965,2566,2965
130252,"Churchill County, State of Nevada",10,Copper,709,917,709,917
130252,"Churchill County, State of Nevada",50,Fiber to the Premises,10471,12054,10471,12054
130254,Cincinnati Bell Inc.,10,Copper,190468,541685,190468,541685
130254,Cincinnati Bell Inc.,40,Cable,1779,2995,0,0
130254,Cincinnati Bell Inc.,50,Fiber to the Premises,760515,1022855,760515,1022855
130254,Cincinnati Bell Inc.,70,Unlicensed Fixed Wireless,539519,731831,0,0
130254,Cincinnati Bell Inc.,71,Licensed Fixed Wireless,0,0,214677,262154
130254,Cincinnati Bell Inc.,72,LBR Fixed Wireless,187148,235952,0,0
130258,Frontier Communications Corporation,10,Copper,2710707,3586712,271823,641880
130258,Frontier Communications Corporation,50,Fiber to the Premises,4501676,5416296,128196,379449
130258,Frontier Communications Corporation,70,Unlicensed Fixed Wireless,89735,102413,4690,6819
130259,Citizens Mutual Telephone Cooperative,50,Fiber to the Premises,6181,6804,6181,6804
130263,Green Hills Telephone Corporation,10,Copper,6089,6626,6089,6626
130263,Green Hills Telephone Corporation,40,Cable,6020,6773,6020,6773
130263,Green Hills Telephone Corporation,50,Fiber to the Premises,5285,5923,5285,5923
130263,Green Hills Telephone Corporation,71,Licensed Fixed Wireless,231,261,231,261
130264,Citizens Telephone Company of Kecksburg,50,Fiber to the Premises,10974,13208,10974,13208
130265,Citizens Mutual Telephone Cooperative (GA),10,Copper,2615,3011,2615,3011
130265,Citizens Mutual Telephone Cooperative (GA),40,Cable,1557,1622,1557,1622
130265,Citizens Mutual Telephone Cooperative (GA),50,Fiber to the Premises,4963,6182,4963,6182
130266,Citizens Telephone Cooperative (VA),10,Copper,7720,9387,7745,9440
130266,Citizens Telephone Cooperative (VA),40,Cable,3283,3491,3285,3510
130266,Citizens Telephone Cooperative (VA),50,Fiber to the Premises,7609,9245,7675,9375
130267,"Citizens Telephone Cooperative, Inc. (WI)",10,Copper,1510,1783,1510,1783
130267,"Citizens Telephone Cooperative, Inc. (WI)",50,Fiber to the Premises,6718,8165,6718,8165
130268,Citizens Telephone Corporation,50,Fiber to the Premises,2600,2788,2600,2788
130268,Citizens Telephone Corporation,70,Unlicensed Fixed Wireless,2212,2343,2212,2343
130269,"Citizens Telephone Company of Hammond NY, Inc.",10,Copper,1106,1167,1106,1167
130269,"Citizens Telephone Company of Hammond NY, Inc.",50,Fiber to the Premises,7268,8539,7259,8529
130270,City of Barnesville Municipal Telephone,50,Fiber to the Premises,1086,1220,1086,1220
130271,City of Brookings Telephone Fund,10,Copper,201,2182,201,2182
130271,City of Brookings Telephone Fund,50,Fiber to the Premises,6447,9684,6447,9684
130272,City of Cairo,40,Cable,472,624,472,624
130272,City of Cairo,50,Fiber to the Premises,0,0,4,6
130274,City of Faith Municipal Telephone Company,50,Fiber to the Premises,208,213,80,95
130275,City of Ketchikan,10,Copper,4713,7633,4713,7633
130275,City of Ketchikan,50,Fiber to the Premises,4701,7657,4701,7657
130275,City of Ketchikan,70,Unlicensed Fixed Wireless,2,2,2,2
130278,City of San Bruno,40,Cable,6501,11376,92,95
130278,City of San Bruno,50,Fiber to the Premises,23,571,0,0
130279,City of Scottsburg,50,Fiber to the Premises,3381,4161,3467,4283
130279,City of Scottsburg,70,Unlicensed Fixed Wireless,17558,19802,17575,19822
130281,City of Thomasville Utilities,40,Cable,745,893,745,893
130281,City of Thomasville Utilities,50,Fiber to the Premises,0,0,56,105
130282,City of Wadsworth,40,Cable,8810,11267,650,1730
130282,City of Wadsworth,50,Fiber to the Premises,0,0,21,101
130283,City of Windom,50,Fiber to the Premises,2193,2604,2193,2604
130285,"Clarence Telephone Company, Inc.",50,Fiber to the Premises,1944,2125,1944,2125
130287,Clarksville Mutual Telephone Company,10,Copper,345,359,345,359
130288,"Clay County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,21360,22689,21360,22689
130289,Clear Creek Mutual Telephone Company,10,Copper,128,145,128,145
130289,Clear Creek Mutual Telephone Company,40,Cable,3517,3946,3517,3946
130290,Clear Lake Independent Telephone Company,50,Fiber to the Premises,6510,8628,6510,8628
130291,"Clear Lake Telephone Company, Inc.",40,Cable,511,534,534,563
130291,"Clear Lake Telephone Company, Inc.",50,Fiber to the Premises,2148,2547,2221,2647
130292,"Clear Rate Communications, LLC",10,Copper,0,0,81176,141519
130292,"Clear Rate Communications, LLC",50,Fiber to the Premises,0,0,113205,210086
130302,C-M-L Telephone Cooperative Association,50,Fiber to the Premises,1556,1785,1556,1785
130303,Coast Communications Co. Inc.,40,Cable,7371,7774,7371,7774
130303,Coast Communications Co. Inc.,50,Fiber to the Premises,0,0,1,1
130305,Cochrane Cooperative Telephone Company,50,Fiber to the Premises,2156,2435,678,805
130307,"Coleman County Telephone Cooperative, Inc.",10,Copper,514,575,514,575
130307,"Coleman County Telephone Cooperative, Inc.",50,Fiber to the Premises,3727,3796,3727,3796
130307,"Coleman County Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,3224,3291,3224,3291
130307,"Coleman County Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,7458,7898,7458,7898
130307,"Coleman County Telephone Cooperative, Inc.",72,LBR Fixed Wireless,3068,3107,3068,3107
